despues_Gio_alpha_1,despues_Gio_alpha_2,despues_Gio_alpha_3,despues_Gio_alpha_4,despues_Gio_alpha_5,despues_Gio_alpha_6,despues_Gio_alpha_7,despues_Gio_alpha_8,despues_Gio_alpha_9,despues_Gio_alpha_10,despues_Gio_alpha_11,despues_Gio_alpha_12,despues_Gio_alpha_13,despues_Gio_alpha_14,despues_Gio_alpha_15,despues_Gio_alpha_16,despues_Gio_alpha_17,despues_Gio_alpha_18,despues_Gio_alpha_19,Sujeto,Clase
3.0158,6.3828,7.41,10.7727,4.48,7.1496,9.1935,9.8896,7.7939,2.9177,4.135,1,8.8005,5.2846,6.9423,4.8379,4.1674,9.7646,4.7107,M22HUGU,M
7.2017,4.0382,5.4192,7.8828,4.6632,3.1025,3.0443,3.6215,4.2392,6.1436,8.1333,2.8702,4.6734,5.2619,6.9161,6.4841,3.0253,6.0146,8.8148,M23SACA,M
4.5701,13.0076,11.5183,9.716,2.1994,9.4641,8.433,7.5697,10.4146,12.3767,9.129,4.8139,12.924,11.4008,9.5388,9.9068,6.2327,12.2151,5.3356,M24SAME,M
9.6512,8.3468,8.2659,7.5614,5.0578,7.7907,4.591,3.1158,10.3999,8.476,9.1834,6.9915,7.081,3.9067,11.346,6.6377,4.812,4.7118,4.5552,M25MAVI,M
3.5929,7.6913,8.1618,8.252,3.8762,1.5229,5.3971,6.4294,8.0319,7.4425,5.6995,3.1352,5.9821,6.3407,7.2553,3.5832,7.7549,5.3426,3.705,M27MUAG,M
6.1741,3.4898,5.3638,8.1244,8.3842,5.6307,7.4367,6.3428,6.3269,7.3321,9.1139,4.4566,3.3392,6.6072,9.189,7.7772,2.4508,4.1423,5.9181,M28NUCO,M
7.516,9.7159,2.3077,7.2193,8.2032,6.161,2.2677,6.431,5.8585,7.7824,7.2669,6.5068,9.4632,8.3472,9.6055,3.8586,8.7337,8.045,4.6118,M3ESDIR,M
11.7002,5.0441,11.4674,10.3122,9.3847,7.5647,8.5874,10.0399,7.8666,13.3732,11.5491,7.3141,12.4639,7.0434,12.258,4.7216,13.1351,9.0795,12.1027,M7FLSAA,M
5.6241,9.4288,7.9404,9.807,6.3454,6.1082,8.5047,8.4404,7.6794,5.414,10.9099,4.8519,9.439,8.0878,3.7053,3.1209,4.1461,5.8074,2.3708,M8AVGUK,M
10.3085,11.8645,7.07,11.8975,6.4538,13.1572,11.0675,11.1252,12.0469,5.588,3.9848,9.1065,10.2699,12.2565,15.2244,3.163,12.0704,12.6605,12.8928,M9SAAND,M
